國文,英文,數學,社會,自然
12,11,15,7,13
15,6,6,9,8
8,6,10,7,13
15,9,14,15,11
11,9,14,14,12
6,10,14,13,11
9,11,12,14,10
6,10,10,9,11
6,8,10,7,10
8,9,12,10,11
14,12,6,8,8
14,8,12,12,14
7,11,11,12,13
8,14,9,9,11
11,13,9,10,8
10,10,10,7,7
12,8,13,6,9
7,11,13,14,8
8,11,6,10,12
15,10,14,15,11
14,7,7,13,10
13,15,7,12,12
14,6,7,11,15
7,7,14,8,15
10,14,13,7,10
7,11,12,8,13
8,12,9,15,6
9,13,11,15,7
8,12,6,15,13
15,9,12,14,11
12,15,14,7,12
13,11,11,11,11
11,14,9,7,7
13,6,11,11,11
6,9,6,12,7
15,13,10,15,9
8,6,14,15,7
9,14,10,15,14
8,14,8,15,13
12,7,10,12,13
9,12,8,8,12
15,14,13,14,11
11,15,8,10,10
9,11,14,7,10
15,12,7,15,12
11,9,11,13,9
7,12,7,11,7
12,13,11,9,10
13,12,15,9,14
11,14,8,9,15
13,15,7,14,12
11,10,8,12,13
10,14,14,7,9
9,13,9,13,7
8,13,8,15,10
14,11,7,6,11
8,9,13,13,10
9,12,10,6,8
6,6,10,9,10
10,6,13,9,13
13,6,14,9,11
15,6,6,12,14
7,6,15,13,6
12,11,6,7,13
9,10,11,7,7
9,10,12,8,7
12,10,6,15,6
15,7,7,14,13
7,11,12,6,6
6,11,9,13,9
6,6,6,15,12
14,8,6,7,8
7,13,12,14,11
6,15,8,13,6
14,15,13,10,7
7,12,12,15,10
9,11,8,6,9
9,6,11,7,14
15,9,11,15,11
15,10,9,9,10
10,7,8,15,8
14,8,12,8,15
13,13,14,7,10
8,12,14,6,13
12,12,9,14,11
9,9,8,9,13
6,13,13,15,7
12,9,14,8,6
15,15,15,12,13
11,12,9,11,12
12,9,11,14,11
7,10,9,15,8
11,6,11,15,13
7,10,10,10,15
9,12,11,6,7
14,12,15,7,14
14,10,7,12,7
11,14,12,14,8
6,8,10,12,15
10,11,7,15,8
